AccountReportingLineKey,ReportingLineCode,RecordStatusKey,ReportingLineName,ReportingLineDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,ARL000001,4,Titan AccountReportingLine 1,AccountReportingLine starter record 1,Blair Diaz,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,ARL000002,3,Liberty AccountReportingLine 2,AccountReportingLine starter record 2,Riley Bennett,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,ARL000003,3,Evergreen AccountReportingLine 3,AccountReportingLine starter record 3,Quinn Martin,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,ARL000004,1,Quartz AccountReportingLine 4,AccountReportingLine starter record 4,Finley Adams,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,ARL000005,3,Meridian AccountReportingLine 5,AccountReportingLine starter record 5,Taylor Evans,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,ARL000006,1,Forge AccountReportingLine 6,AccountReportingLine starter record 6,Alex Hughes,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,ARL000007,1,Willow AccountReportingLine 7,AccountReportingLine starter record 7,Emerson Reed,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,ARL000008,3,Keystone AccountReportingLine 8,AccountReportingLine starter record 8,Morgan Diaz,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,ARL000009,1,Liberty AccountReportingLine 9,AccountReportingLine starter record 9,Blair Chen,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,ARL000010,4,Orion AccountReportingLine 10,AccountReportingLine starter record 10,Alex Martin,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,ARL000011,2,Evergreen AccountReportingLine 11,AccountReportingLine starter record 11,Quinn Diaz,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,ARL000012,4,Liberty AccountReportingLine 12,AccountReportingLine starter record 12,Riley Martin,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,ARL000013,3,Orion AccountReportingLine 13,AccountReportingLine starter record 13,Jordan Garcia,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,ARL000014,2,Harbor AccountReportingLine 14,AccountReportingLine starter record 14,Taylor Evans,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,ARL000015,3,Pioneer AccountReportingLine 15,AccountReportingLine starter record 15,Devon Adams,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,ARL000016,2,Northstar AccountReportingLine 16,AccountReportingLine starter record 16,Alex Patel,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,ARL000017,2,Cedar AccountReportingLine 17,AccountReportingLine starter record 17,Blair Diaz,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,ARL000018,4,Granite AccountReportingLine 18,AccountReportingLine starter record 18,Morgan Garcia,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,ARL000019,3,Evergreen AccountReportingLine 19,AccountReportingLine starter record 19,Quinn Evans,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,ARL000020,4,Junction AccountReportingLine 20,AccountReportingLine starter record 20,Blair Singh,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,ARL000021,3,Liberty AccountReportingLine 21,AccountReportingLine starter record 21,Blair Singh,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,ARL000022,1,Delta AccountReportingLine 22,AccountReportingLine starter record 22,Casey Evans,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,ARL000023,4,Quartz AccountReportingLine 23,AccountReportingLine starter record 23,Jordan Evans,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,ARL000024,1,Delta AccountReportingLine 24,AccountReportingLine starter record 24,Finley Evans,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,ARL000025,4,Pioneer AccountReportingLine 25,AccountReportingLine starter record 25,Alex Bennett,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,ARL000026,2,Vertex AccountReportingLine 26,AccountReportingLine starter record 26,Alex Martin,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,ARL000027,3,Atlas AccountReportingLine 27,AccountReportingLine starter record 27,Finley Khan,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,ARL000028,1,Orion AccountReportingLine 28,AccountReportingLine starter record 28,Casey Chen,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
