CustomerMarketKey,MarketCode,CurrencyKey,RecordStatusKey,MarketName,MarketDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,CM000001,1,2,Pioneer CustomerMarket 1,CustomerMarket starter record 1,Jordan Evans,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,CM000002,5,4,Pioneer CustomerMarket 2,CustomerMarket starter record 2,Emerson Evans,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,CM000003,5,2,Northstar CustomerMarket 3,CustomerMarket starter record 3,Casey Chen,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,CM000004,1,3,Vertex CustomerMarket 4,CustomerMarket starter record 4,Finley Chen,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,CM000005,5,1,Atlas CustomerMarket 5,CustomerMarket starter record 5,Quinn Hughes,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,CM000006,4,4,Orion CustomerMarket 6,CustomerMarket starter record 6,Emerson Chen,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,CM000007,5,4,Pioneer CustomerMarket 7,CustomerMarket starter record 7,Riley Garcia,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,CM000008,1,1,Granite CustomerMarket 8,CustomerMarket starter record 8,Alex Hughes,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,CM000009,4,2,Atlas CustomerMarket 9,CustomerMarket starter record 9,Devon Garcia,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,CM000010,1,2,Quartz CustomerMarket 10,CustomerMarket starter record 10,Alex Diaz,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,CM000011,3,4,Willow CustomerMarket 11,CustomerMarket starter record 11,Jordan Singh,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,CM000012,1,3,Vertex CustomerMarket 12,CustomerMarket starter record 12,Jordan Reed,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,CM000013,4,4,Titan CustomerMarket 13,CustomerMarket starter record 13,Harper Chen,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,CM000014,3,2,Meridian CustomerMarket 14,CustomerMarket starter record 14,Devon Adams,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,CM000015,4,3,Willow CustomerMarket 15,CustomerMarket starter record 15,Finley Singh,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,CM000016,2,3,Harbor CustomerMarket 16,CustomerMarket starter record 16,Harper Reed,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,CM000017,4,4,Granite CustomerMarket 17,CustomerMarket starter record 17,Casey Evans,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,CM000018,1,1,Unity CustomerMarket 18,CustomerMarket starter record 18,Jordan Diaz,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,CM000019,5,1,Harbor CustomerMarket 19,CustomerMarket starter record 19,Casey Bennett,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,CM000020,3,4,Delta CustomerMarket 20,CustomerMarket starter record 20,Casey Martin,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,CM000021,3,2,Riverton CustomerMarket 21,CustomerMarket starter record 21,Blair Diaz,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,CM000022,3,4,Junction CustomerMarket 22,CustomerMarket starter record 22,Finley Hughes,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,CM000023,5,3,Orion CustomerMarket 23,CustomerMarket starter record 23,Alex Singh,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,CM000024,3,4,Cedar CustomerMarket 24,CustomerMarket starter record 24,Emerson Garcia,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,CM000025,5,4,Northstar CustomerMarket 25,CustomerMarket starter record 25,Devon Singh,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,CM000026,5,4,Orion CustomerMarket 26,CustomerMarket starter record 26,Morgan Bennett,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,CM000027,2,1,Atlas CustomerMarket 27,CustomerMarket starter record 27,Jordan Bennett,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,CM000028,3,1,Willow CustomerMarket 28,CustomerMarket starter record 28,Alex Reed,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,CM000029,2,2,Granite CustomerMarket 29,CustomerMarket starter record 29,Taylor Chen,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,CM000030,2,4,Orion CustomerMarket 30,CustomerMarket starter record 30,Casey Bennett,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,CM000031,5,2,Northstar CustomerMarket 31,CustomerMarket starter record 31,Devon Diaz,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,CM000032,4,4,Orion CustomerMarket 32,CustomerMarket starter record 32,Morgan Diaz,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,CM000033,1,2,Riverton CustomerMarket 33,CustomerMarket starter record 33,Harper Patel,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,CM000034,4,1,Cedar CustomerMarket 34,CustomerMarket starter record 34,Harper Evans,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,CM000035,1,1,Riverton CustomerMarket 35,CustomerMarket starter record 35,Taylor Singh,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,CM000036,2,3,Northstar CustomerMarket 36,CustomerMarket starter record 36,Taylor Bennett,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,CM000037,2,1,Zenith CustomerMarket 37,CustomerMarket starter record 37,Morgan Diaz,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,CM000038,1,3,Atlas CustomerMarket 38,CustomerMarket starter record 38,Alex Patel,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,CM000039,3,1,Atlas CustomerMarket 39,CustomerMarket starter record 39,Harper Chen,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,CM000040,5,4,Junction CustomerMarket 40,CustomerMarket starter record 40,Emerson Reed,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,CM000041,5,1,Summit CustomerMarket 41,CustomerMarket starter record 41,Devon Martin,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,CM000042,5,3,Quartz CustomerMarket 42,CustomerMarket starter record 42,Devon Martin,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,CM000043,1,2,Beacon CustomerMarket 43,CustomerMarket starter record 43,Blair Diaz,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,CM000044,5,1,Evergreen CustomerMarket 44,CustomerMarket starter record 44,Riley Diaz,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,CM000045,2,3,Northstar CustomerMarket 45,CustomerMarket starter record 45,Morgan Patel,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
